"","municipality","households","Carless","nc2020","nc2021","nc2020pct","nc2021pct"
"1","Aabenraa",27909,"Familier uden bil i alt",7591,7454,27.199111397757,26.7082303199685
"2","Aalborg",108842,"Familier uden bil i alt",50232,50653,46.1513018871392,46.538101100678
"3","Aarhus",166539,"Familier uden bil i alt",101168,100090,60.7473324566618,60.1000366280571
"4","Albertslund",12550,"Familier uden bil i alt",6701,6404,53.394422310757,51.0278884462151
"5","Allerød",10488,"Familier uden bil i alt",2771,2719,26.4206712433257,25.9248665141114
"6","Assens",18859,"Familier uden bil i alt",4911,4876,26.0406172119412,25.8550294289199
"7","Ballerup",22507,"Familier uden bil i alt",9762,9890,43.3731727906873,43.9418847469676
"8","Billund",12213,"Familier uden bil i alt",2943,2962,24.0972733971997,24.2528453287481
"9","Bornholm",20235,"Familier uden bil i alt",7118,6989,35.1766740795651,34.5391648134421
"10","Brøndby",15600,"Familier uden bil i alt",8236,8102,52.7948717948718,51.9358974358974
"11","Brønderslev",16629,"Familier uden bil i alt",4490,4321,27.0010223104216,25.9847254795839
"12","Christiansø",39,"Familier uden bil i alt",19,18,48.7179487179487,46.1538461538462
"13","Dragør",6108,"Familier uden bil i alt",1965,1917,32.1709233791749,31.385068762279
"14","Egedal",17338,"Familier uden bil i alt",4284,4284,24.7087322643904,24.7087322643904
"15","Esbjerg",56065,"Familier uden bil i alt",19232,18898,34.3030411129938,33.7073040221172
"16","Faaborg-Midtfyn",23863,"Familier uden bil i alt",6371,6266,26.6982357624775,26.2582240288312
"17","Fanø",1746,"Familier uden bil i alt",689,660,39.4616265750286,37.8006872852234
"18","Favrskov",20318,"Familier uden bil i alt",4355,4273,21.4341962791613,21.0306132493356
"19","Faxe",16547,"Familier uden bil i alt",5217,5249,31.5283737233335,31.7217622529764
"20","Fredensborg",17937,"Familier uden bil i alt",6375,6235,35.5410603779896,34.7605508167475
"21","Fredericia",24778,"Familier uden bil i alt",8441,8392,34.0665106142546,33.868754540318
"22","Frederiksberg",53595,"Familier uden bil i alt",38945,38272,72.6653605746805,71.4096464222409
"23","Frederikshavn",29943,"Familier uden bil i alt",9822,9562,32.8023244163911,31.9340079484354
"24","Frederikssund",20029,"Familier uden bil i alt",6107,6028,30.4907883568825,30.0963602775975
"25","Furesø",17169,"Familier uden bil i alt",5877,5742,34.2302987943386,33.4439979031976
"26","Gentofte",33204,"Familier uden bil i alt",16117,15978,48.5393326105289,48.1207083483918
"27","Gladsaxe",31897,"Familier uden bil i alt",16038,15576,50.2805906511584,48.8321785747876
"28","Glostrup",10963,"Familier uden bil i alt",5347,5339,48.7731460366688,48.7001733102253
"29","Greve",21325,"Familier uden bil i alt",7173,7093,33.6365767878077,33.2614302461899
"30","Gribskov",17791,"Familier uden bil i alt",5450,5302,30.6334663593952,29.8015850711034
"31","Guldborgsund",30669,"Familier uden bil i alt",10831,10518,35.3157911898008,34.295216668297
"32","Haderslev",26570,"Familier uden bil i alt",8036,7842,30.2446368084306,29.5144900263455
"33","Halsnæs",14232,"Familier uden bil i alt",4843,4716,34.0289488476672,33.1365935919056
"34","Hedensted",20230,"Familier uden bil i alt",4521,4530,22.3479980227385,22.3924864063272
"35","Helsingør",29411,"Familier uden bil i alt",12190,11983,41.4470776240182,40.7432593247424
"36","Herlev",13481,"Familier uden bil i alt",6031,5978,44.7370373117721,44.3438914027149
"37","Herning",40863,"Familier uden bil i alt",12359,12142,30.2449648826567,29.7139221300443
"38","Hillerød",22272,"Familier uden bil i alt",7877,7930,35.3672772988506,35.6052442528736
"39","Hjørring",30959,"Familier uden bil i alt",9165,9044,29.6036693691657,29.2128298717659
